Date,CountryName_x,CountryCode_x,Jurisdiction,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,Daily_cases,like_index,retweet_index,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),Daily_cases_previous,Daily_cases_next
3/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,14779529,408622,1453.9285714285725,1594.170732,311.7317073,0.0,0.0,0.0,60040.5,58586.57142857143
4/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,14856888,411588,749.4285714285725,1594.170732,311.7317073,0.0,0.0,0.0,60081.57142857143,59332.142857142855
5/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,14930183,414399,1451.4285714285725,3362.317073,568.3414634,0.0,0.0,0.0,59864.857142857145,58413.42857142857
6/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,15003563,416949,1252.9285714285725,3362.317073,568.3414634,0.0,0.0,0.0,60236.5,58983.57142857143
7/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,15082449,419114,974.1428571428623,3362.317073,568.3414634,0.0,0.0,0.0,61465.28571428572,60491.142857142855
8/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,15145879,421316,1482.2142857142826,3362.317073,568.3414634,0.0,0.0,0.0,61468.5,59986.28571428572
9/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,15184790,422340,898.0714285714275,3362.317073,568.3414634,0.0,0.0,0.0,62309.5,61411.42857142857
10/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,15209990,423229,1210.0,3362.317073,568.3414634,0.0,0.0,0.0,62704.42857142857,61494.42857142857
11/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,15282705,425540,1736.7142857142826,3362.317073,568.3414634,0.0,0.0,0.0,62567.71428571428,60831.0
12/5/2021,Brazil,BRA,NAT_TOTAL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,15359397,428034,1674.5714285714275,3178.487805,589.7804878,0.0,0.0,0.0,62990.857142857145,61316.28571428572
